date,id,amount_manner,location,location_id,observer_name,observer_id,validation,page
2024-05-18 19:26,310233702,"4  adult, foeragerend, gezien en gehoord",Wervik (West-Vlaanderen),24095,Gerdy Corselis,91853,goedgekeurd (met bewijs),252
2024-05-18 18:07,310202818,"5  adult, gezien en gehoord",Aartselaar - Kasteel Solhof (Antwerpen),29440,Jo De Coninck,275084,goedgekeurd (automatische validatie),252
2024-05-18 17:40,310229495,2,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),252
2024-05-18 16:23,310179644,1  gehoord,Edegem - Romeinse Put (Antwerpen),29438,Koen van Vooren,200642,goedgekeurd (automatische validatie),252
2024-05-18 13:45,310242491,"2  adult, overvliegend, gezien en gehoord",Heverlee - Egenhoven - Terbank (Vlaams-Brabant),30921,dsklbenl,387274,onbekend,252
2024-05-18 12:36,310173173,"2  overvliegend, gezien en gehoord",Terril du Pétria n°1 (Fontaine-l'Evêque) (Hainaut),180068,Nora Scieur,275417,onbekend,252
2024-05-18 12:30,310120734,1  gehoord,Heverlee - Egenhoven - Arenberg (Vlaams-Brabant),30920,Peter Segers,91940,goedgekeurd (automatische validatie),252
2024-05-18 12:15,310155256,4,Kruibeke/Bazel - Kruibeekse en Bazelse Kreek (KRKR) (Oost-Vlaanderen),29917,Wille,244148,goedgekeurd (automatische validatie),253
2024-05-18 11:33,310137865,1  waarschijnlijke nestplaats,Gullegem - Heulebeekgebied (West-Vlaanderen),31834,Ignaas Robbe,40360,goedgekeurd (automatische validatie),253
2024-05-18 11:06,310109834,"1  adult, overvliegend, gezien en gehoord",Pellenberg -  De Sloep/voormalig Stort  (Ontoegankelijk) (Vlaams-Brabant),31042,Christiaen Mous,99160,onbekend,253
2024-05-18 11:05,310076821,21  overvliegend,Denderwindeke (Dg) (Oost-Vlaanderen),27530,Wies Dierickx,114775,onbekend,253
2024-05-18 10:47,310080339,"1  overvliegend, gezien",Everbeek (Dg) (Oost-Vlaanderen),27542,Stephan De Smet,56540,onbekend,253
2024-05-18 10:34,310242106,1  roepend,Tombeek - Laanvallei (Vlaams-Brabant),28475,Frederik Fluyt,40236,goedgekeurd (automatische validatie),253
2024-05-18 10:25,310259916,2  overvliegend,Saint-Vaast (Hainaut),41975,Tim De Craene,191686,onbekend,253
2024-05-18 10:15,310287703,"3  adult, overvliegend, gezien en gehoord",Kessel-Lo - Centraal (Vlaams-Brabant),30912,dsklbenl,387274,onbekend,253
2024-05-18 09:43,310067273,1,Anderlecht - Vogelzangbeek (réserve naturelle) (Bruxelles / Brussel),32592,Jos Vandeput,99924,goedgekeurd (automatische validatie),253
2024-05-18 09:36,310062750,2,Deerlijk - De Bonte Os (West-Vlaanderen),623755,Bert Voet,726846,goedgekeurd (automatische validatie),253
2024-05-18,310146197,1  gezien,Erps-Kwerps - Dorp (Vlaams-Brabant),28456,Steven De Saeger,40460,goedgekeurd (automatische validatie),253
