location_name,location_id,province,province_id,municipality,municipality_id,location_type,page
Aarsele (Dg),27298,West-Vlaanderen,15,Tielt,24063,Deelgemeente,3
Aarseleweiden (ASW),31653,West-Vlaanderen,15,Zeebrugge,24016,Gebied,3
Aarstelaar Kasteel Kleidaal,29445,Antwerpen,17,Aartselaar,23345,Gebied,3
Aartrijke - Berkenhaag (BHAR),31410,West-Vlaanderen,15,Zedelgem,24008,Gebied,3
Aartrijke - Centrum (CAR),28238,West-Vlaanderen,15,Aartrijke (Dg),24009,Gebied,3
Aartrijke - Heuvellandschap (HLAR),28881,West-Vlaanderen,15,Aartrijke (Dg),24009,Gebied,3
Aartrijke - Kasteel van Calloen (KAVC),31409,West-Vlaanderen,15,Zedelgem,24008,Gebied,3
Aartrijke (Dg),24009,West-Vlaanderen,15,Zedelgem,24008,Deelgemeente,3
Aartrijke/Zedelgem - Noordhoek (NHAZ),31408,West-Vlaanderen,15,Aartrijke (Dg),24009,Gebied,3
Aartselaar,23345,Antwerpen,17,—,,Gemeente,3
Aartselaar - Antwerpse Golfschool,29446,Antwerpen,17,Aartselaar,23345,Gebied,3
Aartselaar - Cleydaelhof,29439,Antwerpen,17,Aartselaar,23345,Gebied,3
Aartselaar - De Reukens,29441,Antwerpen,17,Aartselaar,23345,Gebied,4
Aartselaar - Golf Cleydael,29447,Antwerpen,17,Aartselaar,23345,Gebied,4
Aartselaar - Herprofilering Pannebosbeek,241793,Antwerpen,17,Aartselaar,23345,Gebied,4
Aartselaar - Kasteel Solhof,29440,Antwerpen,17,Aartselaar,23345,Gebied,4
Aartselaar - Overstromingsgebied De Raafkens,722363,Antwerpen,17,—,,Gebied,4
Aartselaar - Overstromingsgebied Halfstraat,241794,Antwerpen,17,Aartselaar,23345,Gebied,4
Aartselaar - Zonnetij,247118,Antwerpen,17,Aartselaar,23345,Gebied,4
Abattis (réserve naturelle),252371,Luxembourg,26,Etalle (entité),43963,Gebied,4
Abbaye de Saint-Remy (Rochefort),179104,Namur,24,Rochefort (entité),43923,Gebied,4
Abbaye de Soleilmont,241448,Hainaut,23,Fleurus (entité),43836,Gebied,4
Abbaye de Valdieu - Aubel,128154,Liège,22,Aubel (entité),43745,project-Gebied,4
Abdijenroute (Groene As provincie West–Vl.),190451,West-Vlaanderen,15,Damme,24013,Gebied,4
Abée,42146,Liège,22,Tinlot (entité),43855,Deelgemeente,4
Abeek met aangrenzende moerasgebieden - N2000,713689,Limburg,14,Bocholt,23496,Gebied,4
Abeekvallei,91063,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,4
Abeekvallei -  Stikheide en Erpecommerheide,91083,Limburg,14,Peer,23501,Gebied,4
Abeekvallei - Bergerheide & Goolderheide,91081,Limburg,14,Bocholt,23496,Gebied,4
Abeekvallei - Erpercommerbeemden,91085,Limburg,14,Peer,23501,Gebied,4
Abeekvallei - Maastrichterheide Peer,91088,Limburg,14,Peer,23501,Gebied,4
Abeekvallei - Schouten Hofs Veld,193362,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,4
Abeekvallei Bree,84125,Limburg,14,Bree,23497,Gebied,4
Abeekvallei Ellikom,91082,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,4
Abeekvallei Grote Brogel,91080,Limburg,14,Peer,23501,Gebied,4
Abeekvallei Meeuwen,91087,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,4
Abeekvallei Meeuwen - Kolis – IndenDamp,258115,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,4
Abeekvallei Reppel,91079,Limburg,14,Bocholt,23496,Gebied,5
Abeekvallei Wijshagen,91089,Limburg,14,Meeuwen-Gruitrode,23097,Gebied,5
Abolens,42280,Liège,22,Hannut (entité),43750,Deelgemeente,5
Abords de l'Eglise de Cerexhe-Heuseux,241522,Liège,22,Soumagne (entité),43774,Gebied,5
Abords de l'Eglise de Saint-André,241519,Liège,22,Dalhem (entité),43725,Gebied,5
Abords des Isnes,241356,Namur,24,Gembloux (entité),43807,Gebied,5
Abords du camping de Waismes,241387,Liège,22,Waimes (entité),43819,Gebied,5
Abreuvoir à Amonines,241465,Luxembourg,26,Erezée (entité),43907,Gebied,5
Achel - Achelse Kluis NW,191731,Limburg,14,Hamont-Achel,23492,Gebied,5
Achel - Achelse Kluis ZO,191732,Limburg,14,Hamont-Achel,23492,Gebied,5
Achel - Warande,189896,Limburg,14,Hamont-Achel,23492,Gebied,5
Achel (Dg),27550,Limburg,14,Hamont-Achel,23492,Deelgemeente,5
Achêne,42471,Namur,24,Ciney (entité),43908,Deelgemeente,5
Achet,23680,Namur,24,Hamois (entité),43894,Deelgemeente,5
Achterbroek - Wolfsheuvel,615558,Antwerpen,17,Wuustwezel,23372,Gebied,5
Achterhaven - Akker Pelikaan (APE),31980,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Asterveld-noord (AVN),31711,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Berm Pelikaan (BPE),31979,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Cast (CAST),31710,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - CTO (CTO),31714,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven – CTO (CTO) - Bosje Pittman Seafoods,671899,West-Vlaanderen,15,Brugge,24005,Gebied,5
Achterhaven - Distrigaz (DI),28545,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Haagje Heist (HAHE),31724,West-Vlaanderen,15,Heist (Dg),24011,Gebied,5
Achterhaven - Hoge Noen (HN),31701,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Insteekdok (ISD),31713,West-Vlaanderen,15,Zeebrugge,24016,Gebied,5
Achterhaven - Insteekdok (ISD) - Insteekdok CTO (ISDC),31983,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Insteekdok (ISD) - Insteekdok Midden (ISDm),31984,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Insteekdok (ISD) - Insteekdok West (ISDW),31985,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Insteekdok (ISD) - Insteekdok-noord (ISDN),31712,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Insteekdok (ISD) - Insteekdok-zuid (ISDZ),31703,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Kiwikaai (KIKA),31715,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Luzerneveld (LV),31702,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - OT Distrigaz (OTDI),31708,West-Vlaanderen,15,Brugge,24005,Gebied,6
Achterhaven - OT Herdersbrug (OTHB),28544,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - OT Kolenopslagplaats (OTKN),31981,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - OT Middenkanaal (OTMK),31706,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - OT Spoorweg Midden (OTSM),31977,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - OT Spoorweg-oost (OTSO),31982,West-Vlaanderen,15,Brugge,24005,Gebied,6
Achterhaven - OT Spoorweg-west (OTSW),31695,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Plasjes Pelikaan (PLPE),31705,West-Vlaanderen,15,Brugge,24005,Gebied,6
Achterhaven - Rietveld Pelikaan (RVPE),31704,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Rietveld Spoorweg Oost (RSO),31987,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Rietveld Spoorweg West (RSW),31978,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Stapelterrein Heist (STHE),31723,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Statoil (STAT),31707,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Weiden Achterkant Lissewege (WAL),31699,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Weiden Distrigaz (WDI),31709,West-Vlaanderen,15,Brugge,24005,Gebied,6
Achterhaven - Weiden Hoge Noen (WHN),31697,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Weiden Spoorweg Oost (WSO),31696,West-Vlaanderen,15,Brugge,24005,Gebied,6
Achterhaven - Weiden Spoorweg West (WSW),31698,West-Vlaanderen,15,Zeebrugge,24016,Gebied,6
Achterhaven - Zeekanaalberm Noord (KBN),28561,West-Vlaanderen,15,Zeebrugge,24016,Gebied,7
Achterhaven - Zeekanaalberm Zuid (KBZ),31986,West-Vlaanderen,15,Zeebrugge,24016,Gebied,7
Achterhaven (AH),31988,West-Vlaanderen,15,Zeebrugge,24016,Gebied,7
Acosse,42300,Liège,22,Wasseiges (entité),43788,Deelgemeente,7
Acoz,41891,Hainaut,23,Gerpinnes (entité),43896,Deelgemeente,7
Adegem - Adegem centrum (6160C),30196,Oost-Vlaanderen,16,Adegem (Dg),24216,Gebied,7
Adegem - Murkel (6160A),30198,Oost-Vlaanderen,16,Adegem (Dg),24216,Gebied,7
Adegem - Onderdijke (6160B),30197,Oost-Vlaanderen,16,Adegem (Dg),24216,Gebied,7
Adegem - Schipdonkkanaal tssn Celie-Steentjes (6160D),28367,Oost-Vlaanderen,16,Sint-Laureins,24211,Gebied,7
Adegem - Schipdonkkanaal tssn Steentjes-Raveschoot (6160E),30195,Oost-Vlaanderen,16,Eeklo,24197,Gebied,7
Adegem - Schipdonkkanaal tssn Veldekes-Raveschoot (6160F),30194,Oost-Vlaanderen,16,Adegem (Dg),24216,Gebied,7
Adegem (6160),28726,Oost-Vlaanderen,16,Adegem (Dg),24216,Gebied,7
Adegem (Dg),24216,Oost-Vlaanderen,16,Maldegem,24215,Deelgemeente,7
Adinkerke - Cabourg duinen Oost,191725,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - Camping,252018,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - Garzebekeveld,31199,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - Markeyputten,31200,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - TRP,31205,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - TRP Centrum,191775,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke - Zandwinningsput,109016,West-Vlaanderen,15,De Panne,24058,Gebied,7
Adinkerke (Dg),27270,West-Vlaanderen,15,De Panne,24058,Deelgemeente,7
Adrets de Romont (réserve naturelle),609268,Liège,22,Modave (entité),43843,Gebied,7
Aérodrome civil (Saint-Hubert),179377,Luxembourg,26,Saint-Hubert (entité),43939,Gebied,7
Aérodrome de Cerfontaine,241585,Namur,24,Cerfontaine (entité),43924,Gebied,7
Aérodrome militaire de Saint-Hubert et ses abords (Saint-Hubert),179384,Luxembourg,26,Sainte-Ode (entité),43940,Gebied,7
Affligem,23256,Vlaams-Brabant,20,Liedekerke,23253,Gemeente,8
